timestamp,action,system_id,old_project_id,new_project_id,old_name,new_name,old_description,new_description,old_building_id,new_building_id,old_building,new_building,old_discipline_id,new_discipline_id,old_discipline,new_discipline,old_timeUpdated,new_timeUpdated,old_checklist_id,new_checklist_id,old_checklist_name,new_checklist_name,old_handover_date,new_handover_date
2025-03-17T12:18:37.498677,update,268855,24296,24296,GFTX_CP1_DCR-000972 Phase 1,GFTX_CP1_DCR-000972 Phase 1,Natural Gas Scope for Cell DEHUs #5-8,Natural Gas Scope for Cell DEHUs #5-8,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10283205,10331432,GFTX_CP1_DCR-000972 Phase 1 - GFTX_CC_MECHANICAL_PIPING_TP2365_NG,GFTX_CP1_DCR-000972 Phase 1 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:38.549902,update,245513,24296,24296,GFTX_CP1_DCR-000972 Phase 2,GFTX_CP1_DCR-000972 Phase 2,Cell DEHUs #5 & 6,Cell DEHUs #5 & 6,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10233755,10481953,GFTX_CP1_DCR-000972 Phase 2 - GFTX_CC_MECHANICAL_INSULATION_LTCW,GFTX_CP1_DCR-000972 Phase 2 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:39.625875,update,272754,24296,24296,GFTX_CP1_DCR-000972 Phase 3,GFTX_CP1_DCR-000972 Phase 3,Cell 3F DEHUs #7 & 8,Cell 3F DEHUs #7 & 8,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10601217,11939369,GFTX_CP1_DCR-000972 Phase 3 - GFTX_CC_MECHANICAL_PIPING_TP2471_LTCW,GFTX_CP1_DCR-000972 Phase 3 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:40.672439,update,272352,24296,24296,GFTX_CP1_DCR-000972_LS,GFTX_CP1_DCR-000972_LS,"Life Safety for DCR 000972
","Life Safety for DCR 000972
",36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11868162,11939374,GFTX_CP1_DCR-000972_LS - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-000972_LS - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_ELEC,,
2025-03-17T12:18:41.739099,update,243569,24296,24296,GFTX_CP1_DCR-000974,GFTX_CP1_DCR-000974,Cells Lobby Phase 1,Cells Lobby Phase 1,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10462498,11939377,GFTX_CP1_DCR-000974 - GFTX_CC_MECHANICAL_PIPING_TP2077_DW,GFTX_CP1_DCR-000974 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:42.803975,update,276819,24296,24296,GFTX_CP1_DCR-000990 Phase 1,GFTX_CP1_DCR-000990 Phase 1,Temporary DI water and Temporary Duct ,Temporary DI water and Temporary Duct ,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10623211,10734906,GFTX_CP1_DCR-000990 Phase 1 - GFTX_CC_MECHANICAL_DUCTING_TEMP,GFTX_CP1_DCR-000990 Phase 1 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:43.866743,update,281721,24296,24296,GFTX_CP1_DCR-000990 Phase 2,GFTX_CP1_DCR-000990 Phase 2,Temporary PHW Heat Exchanger ,Temporary PHW Heat Exchanger ,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10741371,10761099,GFTX_CP1_DCR-000990 Phase 2 - GFTX_CC_MECHANICAL_PIPING_TP2550_PHWS/R,GFTX_CP1_DCR-000990 Phase 2 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:44.929601,update,281989,24296,24296,GFTX_CP1_DCR-000990 Phase 3,GFTX_CP1_DCR-000990 Phase 3,DI water manifold and make up water connection,DI water manifold and make up water connection,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10747664,10861128,GFTX_CP1_DCR-000990 Phase 3 - GFTX_CC_MECHANICAL_PIPING_TP2555_DW,GFTX_CP1_DCR-000990 Phase 3 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:45.987311,update,254177,24296,24296,GFTX_CP1_DCR-000990 Phase 4,GFTX_CP1_DCR-000990 Phase 4,Cell Wash/DI Skid,Cell Wash/DI Skid,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939393,11939393,GFTX_CP1_DCR-000990 Phase 4 - GFTX_CC_MECHANICAL_PIPING_TP3499_MPCA,GFTX_CP1_DCR-000990 Phase 4 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:47.037278,update,301070,24296,24296,GFTX_CP1_DCR-000990 Phase 5,GFTX_CP1_DCR-000990 Phase 5,Additional Tie Ins,Additional Tie Ins,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11358990,11939397,GFTX_CP1_DCR-000990 Phase 5 - GFTX_CC_MECHANICAL_PIPING_TP2941_LTCW,GFTX_CP1_DCR-000990 Phase 5 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
